frac,seed,snr,sep_ratio,kappa_logvar,kappa_tangent,feat_spread,min_rank,cond_max,valid
0.0,-1,inf,10.417631931420575,1.0,1.0,4.604038861929442,12,255555.92772064873,True
0.0,-1,8.0,6.882551685292483,1.0,1.0,3.440525222588457,12,245.66895539086838,True
0.0,-1,4.0,4.205266210870404,1.0,1.0,2.372232326872972,12,69.17805894085508,True
0.0,-1,2.0,2.2468184221663825,0.9777777777777777,1.0,1.4614463567496374,12,19.524362787619886,True
0.0,-1,1.0,1.1276792997664025,0.8888888888888888,0.7111111111111111,0.8989923044328344,12,6.56465965359679,True
0.0,-1,0.5,0.625357614696463,0.3555555555555555,0.022222222222222254,0.6348623119102041,12,3.293170811988097,True
0.0,-1,0.25,0.4515978090231389,0.15555555555555556,-0.04444444444444451,0.5379082305286849,12,2.7256659409279687,True
0.1,0,inf,10.57152228550382,1.0,1.0,3.912896545796799,12,136298.90142921318,True
0.1,0,8.0,7.623496574452259,1.0,1.0,3.2498869959383874,12,251.90441455203452,True
0.1,0,4.0,4.826530989254999,1.0,1.0,2.439784693714323,12,71.89754253709737,True
0.1,0,2.0,2.5953620501187458,1.0,1.0,1.487182554597224,12,20.52773689445285,True
0.1,0,1.0,1.2545593970489624,0.8888888888888888,0.6888888888888889,0.8676007330178849,12,6.876095083447182,True
0.1,0,0.5,0.6013301629787194,0.4,0.3555555555555555,0.6241750213170885,12,3.4237214357502452,True
0.1,0,0.25,0.4211456611380456,0.1333333333333333,0.022222222222222254,0.5340211543858895,12,2.7362918659278717,True
0.1,1,inf,12.285738884374732,1.0,1.0,3.537470328190677,12,222299.29914725974,True
0.1,1,8.0,5.651221193270663,1.0,1.0,2.8041280736054244,12,181.46010236123666,True
0.1,1,4.0,3.205222237997079,1.0,1.0,2.034180881479314,12,50.54270166583911,True
0.1,1,2.0,1.6421019750645232,0.9777777777777777,1.0,1.237288006156451,12,14.514913832584696,True
0.1,1,1.0,0.8415361969702502,0.6444444444444444,0.4222222222222223,0.7703146824157302,12,5.322310291737085,True
0.1,1,0.5,0.49993776849087407,0.24444444444444446,0.11111111111111116,0.5731128655437978,12,3.0460592854491075,True
0.1,1,0.25,0.416980660161114,0.1333333333333333,0.0888888888888889,0.5204713485408439,12,2.715439712494561,True
0.2,0,inf,10.399144761340404,1.0,1.0,6.359655244144428,12,154255.97388855324,True
0.2,0,8.0,6.006557370585288,1.0,1.0,3.8196239601478617,12,242.15014767590358,True
0.2,0,4.0,3.4560584640117202,1.0,1.0,2.5765650357461842,12,65.86130817378071,True
0.2,0,2.0,1.7390201133742285,0.9555555555555556,1.0,1.496439574086021,12,18.33727187019438,True
0.2,0,1.0,0.8656283903569082,0.7555555555555555,0.6,0.9061947530290524,12,6.1705970745786285,True
0.2,0,0.5,0.5697287676072375,0.24444444444444446,-0.04444444444444451,0.6431423483891994,12,3.153160951495685,True
0.2,0,0.25,0.4526703934056933,0.1333333333333333,0.022222222222222254,0.5431142753763405,12,2.707321508390154,True
0.2,1,inf,22.37404717089807,1.0,1.0,8.755299903594834,12,14700194.717380641,True
0.2,1,8.0,1.7086164446808905,0.8666666666666667,1.0,2.8626214808979102,12,33.08580353484439,True
0.2,1,4.0,0.8264534367759133,0.3555555555555555,0.6444444444444444,1.7395944133790975,12,9.961023549682261,True
0.2,1,2.0,0.5069108322489844,0.1777777777777778,0.15555555555555556,0.9720539946229296,12,4.151323440920074,True
0.2,1,1.0,0.4474242455687993,0.11111111111111116,-0.15555555555555545,0.6046892743373189,12,2.849559187026339,True
0.2,1,0.5,0.395120704746838,0.11111111111111116,0.15555555555555556,0.4938120979694902,12,2.6937260684666122,True
0.2,1,0.25,0.3824483189734789,0.0888888888888889,-0.022222222222222143,0.4921517488847673,12,2.678771517418172,True
0.3,0,inf,26.149098108254847,1.0,1.0,14.962909654672526,12,307258212.056089,False
0.3,0,8.0,2.414822684749296,0.9333333333333333,1.0,3.2155735410187516,12,50.973473662939305,True
0.3,0,4.0,1.2532801858874758,0.4,0.7111111111111111,2.0455086337176134,12,14.226596698812054,True
0.3,0,2.0,0.6683552557706854,0.15555555555555556,0.19999999999999996,1.161669984593051,12,5.101837922995462,True
0.3,0,1.0,0.47692389525708934,0.15555555555555556,0.06666666666666665,0.6806599265076866,12,3.0270594709780534,True
0.3,0,0.5,0.4045789857751742,0.0888888888888889,0.06666666666666665,0.5019786982928469,12,2.7302757316056763,True
0.3,0,0.25,0.383664998651591,0.0888888888888889,-0.022222222222222143,0.4950420697973432,12,2.6920817117055043,True
0.3,1,inf,18.78063174000076,1.0,1.0,9.544079569326058,12,65680254.60945699,True
0.3,1,8.0,2.518592986002084,1.0,1.0,3.409718606483807,12,91.45606692035362,True
0.3,1,4.0,1.252613799547942,0.7555555555555555,0.8222222222222222,2.205269499049456,12,24.535422294379945,True
0.3,1,2.0,0.6507396194378254,0.1777777777777778,0.3111111111111111,1.265956161551778,12,7.707144636666844,True
0.3,1,1.0,0.45645043219614545,0.11111111111111116,0.2222222222222222,0.7265259882068489,12,3.599903955500056,True
0.3,1,0.5,0.4311141272378621,0.11111111111111116,0.1333333333333333,0.5165222532008139,12,2.786297250600927,True
0.3,1,0.25,0.3901417844498885,0.0888888888888889,0.0,0.4989949337720636,12,2.688680661517316,True
0.5,0,inf,23.810973063350442,1.0,1.0,15.765704565016454,12,6357445079.88135,False
0.5,0,8.0,0.7804155094453965,0.5333333333333333,0.5777777777777777,1.5857498680734856,12,14.57733781102546,True
0.5,0,4.0,0.5016903543614164,0.1333333333333333,0.2222222222222222,0.9146967663906822,12,5.2698106098603015,True
0.5,0,2.0,0.47007699516991147,0.0,0.0,0.60721028161199,12,3.0433392326490174,True
0.5,0,1.0,0.41180315517780663,-0.022222222222222143,0.0888888888888889,0.5008459291303162,12,2.7105730973071958,True
0.5,0,0.5,0.38593163997098273,0.06666666666666665,0.0,0.4916091846682824,12,2.681997703993043,True
0.5,0,0.25,0.38011089584807023,0.06666666666666665,0.0444444444444444,0.4916042394964464,12,2.6792589656554457,True
0.5,1,inf,29.160860024285373,1.0,1.0,19.123374400802714,12,4026339415.454088,False
0.5,1,8.0,0.8364492314285437,0.6888888888888889,0.6444444444444444,1.7006635550237386,12,12.344188062268737,True
0.5,1,4.0,0.554361029892439,0.33333333333333337,0.2222222222222222,0.9530630414577754,12,4.587125704938256,True
0.5,1,2.0,0.454164067506881,0.15555555555555556,0.0444444444444444,0.6283715793142068,12,2.766401506775386,True
0.5,1,1.0,0.40487798953086884,0.11111111111111116,-0.022222222222222143,0.530153595185233,12,2.687151285647645,True
