condition,kind,n_cut,noise_seed,sep_ratio,kappa_logvar,kappa_tangent,cond_max,valid,model
random_match_onto_T4_s1,random,44,0,0.6707863891926421,0.0666666666666666,0.4,3.5613981632803577,True,flow/0000/000
random_match_onto_T4_s1,random,44,1,0.7132239728662844,0.5111111111111111,0.6,3.62383223955731,True,flow/0000/000
random_match_onto_T4_s1,random,44,2,0.7234048148092906,0.1999999999999999,0.7111111111111111,3.812149538432591,True,flow/0000/000
random_match_onto_T4_s2,random,44,0,0.9113761934194295,0.7111111111111111,0.5111111111111111,6.753464250544308,True,flow/0000/000
random_match_onto_T4_s2,random,44,1,0.9287203091862548,0.7555555555555555,0.5777777777777777,6.946936540702831,True,flow/0000/000
random_match_onto_T4_s2,random,44,2,0.9091828532940514,0.8666666666666667,0.6666666666666667,6.439719681811646,True,flow/0000/000
random_match_onto_T5_s0,random,35,0,1.0423094773866617,0.5333333333333333,0.7555555555555555,5.750564406303607,True,flow/0000/000
random_match_onto_T5_s0,random,35,1,1.0918142720816544,0.6444444444444444,0.7555555555555555,5.8206312201426575,True,flow/0000/000
random_match_onto_T5_s0,random,35,2,1.0856584855925824,0.6666666666666667,0.9333333333333332,5.750453015390703,True,flow/0000/000
random_match_onto_T5_s1,random,35,0,1.0482032230304918,0.6666666666666667,0.6222222222222222,5.528710713099439,True,flow/0000/000
random_match_onto_T5_s1,random,35,1,1.0799419529660328,0.8222222222222222,0.8444444444444444,5.707959945727653,True,flow/0000/000
random_match_onto_T5_s1,random,35,2,1.0634420213649738,0.7777777777777778,0.8,5.415379513450161,True,flow/0000/000
random_match_onto_T5_s2,random,35,0,0.894871540188862,0.4888888888888889,0.5111111111111111,5.620072558600267,True,flow/0000/000
random_match_onto_T5_s2,random,35,1,0.9256837229712284,0.7333333333333334,0.7333333333333334,5.852857667326858,True,flow/0000/000
random_match_onto_T5_s2,random,35,2,0.9231322370450904,0.6222222222222222,0.6666666666666667,5.597325179400674,True,flow/0000/000
random_match_onto_T4_and_T5_s0,random,79,0,0.7742231220246723,0.3555555555555555,0.3111111111111111,4.337594573281262,True,flow/0000/000
random_match_onto_T4_and_T5_s0,random,79,1,0.7914081847918895,0.4888888888888889,0.4666666666666667,4.224637443539673,True,flow/0000/000
random_match_onto_T4_and_T5_s0,random,79,2,0.7859667169315105,0.5555555555555556,0.6666666666666667,4.0470784645738975,True,flow/0000/000
random_match_onto_T4_and_T5_s1,random,79,0,1.366696953172883,0.8,0.8,7.725699004879647,True,flow/0000/000
random_match_onto_T4_and_T5_s1,random,79,1,1.404076679925109,0.8888888888888888,0.9333333333333332,7.610530833130541,True,flow/0000/000
random_match_onto_T4_and_T5_s1,random,79,2,1.3914501581900065,0.8444444444444444,0.8888888888888888,7.421728671807546,True,flow/0000/000
random_match_onto_T4_and_T5_s2,random,79,0,0.8310110450147307,0.2222222222222222,0.5555555555555556,4.983458729509717,True,flow/0000/000
random_match_onto_T4_and_T5_s2,random,79,1,0.8934644128854455,0.5333333333333333,0.7111111111111111,4.648344768603836,True,flow/0000/000
random_match_onto_T4_and_T5_s2,random,79,2,0.8446963623230451,0.3111111111111111,0.7777777777777778,4.6467567048730265,True,flow/0000/000
random_match_from_photoreceptor_s0,random,44,0,0.8829918044270829,0.1777777777777778,0.6444444444444444,4.878173576040471,True,flow/0000/000
random_match_from_photoreceptor_s0,random,44,1,0.9286656512778746,0.5555555555555556,0.7111111111111111,5.136970349487502,True,flow/0000/000
random_match_from_photoreceptor_s0,random,44,2,0.8902218262720685,0.3555555555555555,0.7555555555555555,4.7368262285571765,True,flow/0000/000
random_match_from_photoreceptor_s1,random,44,0,0.6707863891926421,0.0666666666666666,0.4,3.5613981632803577,True,flow/0000/000
random_match_from_photoreceptor_s1,random,44,1,0.7132239728662844,0.5111111111111111,0.6,3.62383223955731,True,flow/0000/000
random_match_from_photoreceptor_s1,random,44,2,0.7234048148092906,0.1999999999999999,0.7111111111111111,3.812149538432591,True,flow/0000/000
random_match_from_photoreceptor_s2,random,44,0,0.9113761934194295,0.7111111111111111,0.5111111111111111,6.753464250544308,True,flow/0000/000
random_match_from_photoreceptor_s2,random,44,1,0.9287203091862548,0.7555555555555555,0.5777777777777777,6.946936540702831,True,flow/0000/000
random_match_from_photoreceptor_s2,random,44,2,0.9091828532940514,0.8666666666666667,0.6666666666666667,6.439719681811646,True,flow/0000/000
random_match_T4_canonical_input_s0,random,16,0,1.015912091478056,0.5777777777777777,0.5777777777777777,5.2951030195053805,True,flow/0000/000
random_match_T4_canonical_input_s0,random,16,1,1.0590049726629425,0.7777777777777778,0.6666666666666667,5.301098900662383,True,flow/0000/000
random_match_T4_canonical_input_s0,random,16,2,1.0456810448515093,0.7111111111111111,0.8,5.209779585750156,True,flow/0000/000
random_match_T4_canonical_input_s1,random,16,0,0.6353466090517429,0.2222222222222222,0.3333333333333333,4.101578322567494,True,flow/0000/000
random_match_T4_canonical_input_s1,random,16,1,0.6440494195498853,0.2444444444444444,0.4,4.131806165070774,True,flow/0000/000
random_match_T4_canonical_input_s1,random,16,2,0.6267192121849621,0.3555555555555555,0.3555555555555555,3.89305021643312,True,flow/0000/000
random_match_T4_canonical_input_s2,random,16,0,1.0666213909397466,0.7111111111111111,0.6666666666666667,5.693817206966307,True,flow/0000/000
