frac,lesion_seed,noise_seed,sep_ratio,kappa_logvar,kappa_tangent,cond_max,valid,model
0.0,-1,0,1.076608933307151,0.7111111111111111,0.6666666666666667,5.575094001689344,True,flow/0000/000
0.0,-1,1,1.122196144427947,0.8222222222222222,0.7333333333333334,5.628849752125937,True,flow/0000/000
0.0,-1,2,1.1043272495519163,0.7777777777777778,0.8222222222222222,5.483383757617121,True,flow/0000/000
0.05,0,0,1.0006989314882375,0.5777777777777777,0.6888888888888889,4.796075584327416,True,flow/0000/000
0.05,0,1,1.0607535517159898,0.8,0.7777777777777778,4.774468219338245,True,flow/0000/000
0.05,0,2,1.0390379778773162,0.5555555555555556,0.8888888888888888,4.568508214198271,True,flow/0000/000
0.05,1,0,1.0012466873150971,0.6666666666666667,0.6222222222222222,5.687605519739914,True,flow/0000/000
0.05,1,1,1.0492833432548163,0.8,0.7333333333333334,5.641187500465272,True,flow/0000/000
0.05,1,2,1.0328052321154406,0.7555555555555555,0.9111111111111112,5.597373529150131,True,flow/0000/000
0.05,2,0,0.5795807247728054,0.0222222222222222,0.1111111111111111,3.1837021812219857,True,flow/0000/000
0.05,2,1,0.5753697246345039,0.0666666666666666,0.3111111111111111,3.0853491582617987,True,flow/0000/000
0.05,2,2,0.6324722345220366,0.0444444444444444,0.1777777777777778,3.133283542056826,True,flow/0000/000
0.1,0,0,1.2054152418391315,0.7333333333333334,0.8,5.760058685953067,True,flow/0000/000
0.1,0,1,1.2521000863293703,0.8888888888888888,0.8222222222222222,5.954016455052976,True,flow/0000/000
0.1,0,2,1.2469648538476807,0.7777777777777778,0.9111111111111112,5.829494573774145,True,flow/0000/000
0.1,1,0,0.7953031494305433,0.2444444444444444,0.4,4.472737715074565,True,flow/0000/000
0.1,1,1,0.8307140561686152,0.4666666666666667,0.4888888888888889,4.583265800139044,True,flow/0000/000
0.1,1,2,0.8182837465902721,0.2666666666666667,0.6222222222222222,4.516637862230623,True,flow/0000/000
0.1,2,0,0.6555851663469613,0.1555555555555555,0.1333333333333333,3.312757345825022,True,flow/0000/000
0.1,2,1,0.6430272121303092,0.2444444444444444,0.2666666666666667,3.1900137762409297,True,flow/0000/000
0.1,2,2,0.6775393842162722,0.0888888888888889,0.3777777777777777,3.1476377510723306,True,flow/0000/000
0.15,0,0,0.6988464481699725,0.3333333333333333,0.3555555555555555,4.032164313716092,True,flow/0000/000
0.15,0,1,0.7443986719739891,0.4444444444444444,0.5333333333333333,4.329440174082105,True,flow/0000/000
0.15,0,2,0.7327606596643751,0.4444444444444444,0.5777777777777777,4.359322218096118,True,flow/0000/000
0.15,1,0,0.4425543874099592,0.0222222222222222,0.0888888888888889,2.9981705996972465,True,flow/0000/000
0.15,1,1,0.426715287062655,0.2444444444444444,0.0222222222222222,2.837808411012269,True,flow/0000/000
0.15,1,2,0.4854119555244446,0.0888888888888889,0.1111111111111111,3.013204878409236,True,flow/0000/000
0.15,2,0,0.6149681765327166,0.1777777777777778,0.2888888888888888,3.9215481114063215,True,flow/0000/000
0.15,2,1,0.6395388030848007,0.2888888888888888,0.3333333333333333,3.611714332441817,True,flow/0000/000
0.15,2,2,0.6453081081274364,0.1111111111111111,0.3777777777777777,3.656560869267023,True,flow/0000/000
0.2,0,0,0.8060151200679873,0.5777777777777777,0.4444444444444444,5.267874937047223,True,flow/0000/000
0.2,0,1,0.8333038556567396,0.5555555555555556,0.5333333333333333,5.38683416418223,True,flow/0000/000
0.2,0,2,0.8431105532838437,0.6666666666666667,0.7555555555555555,5.273928490652171,True,flow/0000/000
0.2,1,0,0.363294886868476,-0.1333333333333333,-0.0666666666666666,2.6516224396070776,True,flow/0000/000
0.2,1,1,0.4129824263115063,0.2666666666666667,-0.1111111111111111,2.460197015167835,True,flow/0000/000
0.2,1,2,0.5155785205641209,-0.0444444444444445,0.0444444444444444,2.665343728133306,True,flow/0000/000
0.2,2,0,0.928439495106336,0.4,0.6666666666666667,6.4658625136140975,True,flow/0000/000
0.2,2,1,0.9859395595547856,0.5333333333333333,0.8,6.611642962470048,True,flow/0000/000
0.2,2,2,0.9431266082980778,0.4,0.8222222222222222,6.637727225762074,True,flow/0000/000
0.25,0,0,0.8016429957127991,0.2888888888888888,0.4888888888888889,4.306693105548597,True,flow/0000/000
0.25,0,1,0.8449370311749602,0.5333333333333333,0.6444444444444444,4.598346303488014,True,flow/0000/000
0.25,0,2,0.8513018645964112,0.3555555555555555,0.4666666666666667,4.352923881475335,True,flow/0000/000
0.25,1,0,0.4992259090139347,0.0444444444444444,0.0666666666666666,3.141754268634448,True,flow/0000/000
0.25,1,1,0.579382372955478,0.2888888888888888,-0.0444444444444445,3.3465727548362056,True,flow/0000/000
0.25,1,2,0.6000162603140754,0.3111111111111111,0.1555555555555555,3.369612467065946,True,flow/0000/000
0.25,2,0,0.3636283762102335,-0.1111111111111111,0.0444444444444444,2.4048913548926407,True,flow/0000/000
0.25,2,1,0.3804530811315643,0.1555555555555555,0.0,2.3649308388825685,True,flow/0000/000
0.25,2,2,0.6088912531730284,0.0222222222222222,0.0222222222222222,2.381867926933604,True,flow/0000/000
0.0,-1,0,1.7292119802494132,0.9777777777777776,0.9555555555555556,10.63725124340429,True,flow/0000/001
0.0,-1,1,1.7951819345582378,1.0,0.9555555555555556,10.94575561516705,True,flow/0000/001
0.0,-1,2,1.7461879055639231,1.0,1.0,10.021405209624492,True,flow/0000/001
0.05,0,0,1.5526687073583751,0.9777777777777776,0.9111111111111112,8.377287246423325,True,flow/0000/001
0.05,0,1,1.6268684039190604,1.0,0.9333333333333332,8.712610458956904,True,flow/0000/001
0.05,0,2,1.561162482868118,0.9777777777777776,0.8666666666666667,7.969693063272734,True,flow/0000/001
0.05,1,0,1.67613875807797,1.0,0.9777777777777776,12.287801005105452,True,flow/0000/001
0.05,1,1,1.725408816598108,1.0,0.9555555555555556,11.716497305939583,True,flow/0000/001
0.05,1,2,1.6719372628091915,1.0,0.9777777777777776,11.542034294023214,True,flow/0000/001
0.05,2,0,1.3019619916380425,0.9333333333333332,0.9111111111111112,8.706966932090003,True,flow/0000/001
0.05,2,1,1.3600919135851,0.9555555555555556,0.8888888888888888,9.17952194421979,True,flow/0000/001
0.05,2,2,1.3502293805886214,1.0,0.8444444444444444,8.176325208581103,True,flow/0000/001
0.1,0,0,1.5551391040649685,0.9777777777777776,0.9333333333333332,8.587307538942627,True,flow/0000/001
0.1,0,1,1.5983096468060851,0.9111111111111112,0.9555555555555556,8.970699128638149,True,flow/0000/001
0.1,0,2,1.5599109794606412,0.9777777777777776,0.9555555555555556,8.358525009563492,True,flow/0000/001
0.1,1,0,0.4185401242420266,-0.0222222222222221,0.0666666666666666,2.884550105278018,True,flow/0000/001
0.1,1,1,0.4560831321790199,0.1111111111111111,0.0666666666666666,2.8792816330547364,True,flow/0000/001
0.1,1,2,0.5378321156860375,0.0888888888888889,0.1111111111111111,2.8081799606786606,True,flow/0000/001
0.1,2,0,0.6730087149010032,0.1555555555555555,0.2888888888888888,4.3099371950799945,True,flow/0000/001
0.1,2,1,0.7068036022418498,0.3555555555555555,0.4222222222222223,4.919474664398888,True,flow/0000/001
0.1,2,2,0.7076870434658968,0.1777777777777778,0.2444444444444444,4.4336919617121735,True,flow/0000/001
0.15,0,0,0.7538216101582704,0.5777777777777777,0.4222222222222223,4.878301931107215,True,flow/0000/001
0.15,0,1,0.7940744940908085,0.4666666666666667,0.5111111111111111,4.989247694883534,True,flow/0000/001
0.15,0,2,0.7995733036469411,0.5555555555555556,0.4888888888888889,4.997086054142,True,flow/0000/001
0.15,1,0,0.7081551444790174,0.3777777777777777,0.5777777777777777,6.517831988247036,True,flow/0000/001
0.15,1,1,0.7210800395678735,0.2666666666666667,0.5555555555555556,6.623185815867933,True,flow/0000/001
0.15,1,2,0.7307123240318496,0.4444444444444444,0.4,6.420786679586231,True,flow/0000/001
0.15,2,0,1.2546182281611833,0.6444444444444444,0.7333333333333334,9.347627157416431,True,flow/0000/001
0.15,2,1,1.288199284349478,0.7333333333333334,0.8666666666666667,10.193396925819943,True,flow/0000/001
0.15,2,2,1.2496795258559072,0.7555555555555555,0.9333333333333332,9.168447763141645,True,flow/0000/001
0.2,0,0,1.313013775888277,0.9111111111111112,0.7777777777777778,8.504653301747565,True,flow/0000/001
0.2,0,1,1.370007116818562,0.8666666666666667,0.9111111111111112,8.738052038918006,True,flow/0000/001
0.2,0,2,1.3258350394966212,0.9555555555555556,0.8888888888888888,8.092581702139656,True,flow/0000/001
0.2,1,0,0.4119087533047468,-0.0444444444444445,0.0,3.3581324689051795,True,flow/0000/001
0.2,1,1,0.4458316321596514,0.0444444444444444,0.0444444444444444,3.6005575494999573,True,flow/0000/001
0.2,1,2,0.4681265792532477,0.0444444444444444,0.1333333333333333,3.533157530201992,True,flow/0000/001
0.2,2,0,0.730174762468074,0.4444444444444444,0.3777777777777777,7.039014224664906,True,flow/0000/001
0.2,2,1,0.7391641828491368,0.4222222222222223,0.5111111111111111,7.316761361616667,True,flow/0000/001
0.2,2,2,0.7446369929866329,0.5111111111111111,0.3777777777777777,6.928993457061447,True,flow/0000/001
0.25,0,0,1.32198989988316,1.0,0.8666666666666667,10.405095616976322,True,flow/0000/001
