delta_deg,kappa_logvar,kappa_tangent,sep_ratio,feat_spread,cond_max
45,1.0,1.0,10.417631931420575,4.604038861929442,255555.92772064873
20,1.0,1.0,7.403591877980891,6.753539479257256,260741.41457506065
12,1.0,1.0,5.168574343722982,6.782844987281823,285854.4852923671
7,1.0,1.0,3.4510129912494274,6.748631827965643,294108.3187221016
4,1.0,1.0,2.1887620034309667,5.469012921112623,272856.3006879744
2,1.0,1.0,1.1959262145079885,4.801529232493778,278937.4221004884
