frac,lesion_seed,noise_seed,sep_ratio,kappa_logvar,kappa_tangent,cond_max,valid
0.0,-1,0,1.0766089333071507,0.7111111111111111,0.6666666666666667,5.575094001689344,True
0.0,-1,1,1.122196144427947,0.8222222222222222,0.7333333333333334,5.628849752125937,True
0.0,-1,2,1.1043272495519165,0.7777777777777778,0.8222222222222222,5.483383757617121,True
0.05,0,0,1.0006989314882377,0.5777777777777777,0.6888888888888889,4.796075584327416,True
0.05,0,1,1.0607535517159898,0.8,0.7777777777777778,4.774468219338245,True
0.05,0,2,1.0390379778773162,0.5555555555555556,0.8888888888888888,4.568508214198271,True
0.05,1,0,1.0012466873150971,0.6666666666666667,0.6222222222222222,5.687605519739914,True
0.05,1,1,1.0492833432548165,0.8,0.7333333333333334,5.641187500465272,True
0.05,1,2,1.0328052321154406,0.7555555555555555,0.9111111111111111,5.597373529150131,True
0.05,2,0,0.5795807247728054,0.022222222222222254,0.11111111111111116,3.1837021812219857,True
0.05,2,1,0.5753697246345039,0.06666666666666665,0.3111111111111111,3.0853491582617987,True
0.05,2,2,0.6324722345220366,0.0444444444444444,0.1777777777777778,3.133283542056826,True
0.1,0,0,1.2054152418391315,0.7333333333333334,0.8,5.760058685953067,True
0.1,0,1,1.2521000863293705,0.8888888888888888,0.8222222222222222,5.954016455052976,True
0.1,0,2,1.2469648538476807,0.7777777777777778,0.9111111111111111,5.829494573774145,True
0.1,1,0,0.7953031494305433,0.24444444444444446,0.4,4.472737715074565,True
0.1,1,1,0.8307140561686152,0.4666666666666667,0.48888888888888893,4.583265800139044,True
0.1,1,2,0.8182837465902721,0.2666666666666667,0.6222222222222222,4.516637862230623,True
0.1,2,0,0.6555851663469613,0.15555555555555556,0.1333333333333333,3.312757345825022,True
0.1,2,1,0.6430272121303092,0.24444444444444446,0.2666666666666667,3.1900137762409297,True
0.1,2,2,0.6775393842162722,0.0888888888888889,0.37777777777777777,3.1476377510723306,True
0.15,0,0,0.6988464481699725,0.33333333333333337,0.3555555555555555,4.032164313716092,True
0.15,0,1,0.7443986719739891,0.4444444444444444,0.5333333333333333,4.329440174082105,True
0.15,0,2,0.7327606596643751,0.4444444444444444,0.5777777777777777,4.359322218096118,True
0.15,1,0,0.4425543874099592,0.022222222222222254,0.0888888888888889,2.9981705996972465,True
0.15,1,1,0.42671528706265505,0.24444444444444446,0.022222222222222254,2.837808411012269,True
0.15,1,2,0.4854119555244446,0.0888888888888889,0.11111111111111116,3.0132048784092356,True
0.15,2,0,0.6149681765327166,0.1777777777777778,0.28888888888888886,3.9215481114063224,True
0.15,2,1,0.6395388030848007,0.28888888888888886,0.33333333333333337,3.6117143324418173,True
0.15,2,2,0.6453081081274364,0.11111111111111116,0.37777777777777777,3.656560869267023,True
0.2,0,0,0.8060151200679873,0.5777777777777777,0.4444444444444444,5.267874937047223,True
0.2,0,1,0.8333038556567396,0.5555555555555556,0.5333333333333333,5.38683416418223,True
0.2,0,2,0.8431105532838437,0.6666666666666667,0.7555555555555555,5.273928490652171,True
0.2,1,0,0.363294886868476,-0.1333333333333333,-0.06666666666666665,2.6516224396070776,True
0.2,1,1,0.41298242631150633,0.2666666666666667,-0.11111111111111116,2.460197015167835,True
0.2,1,2,0.5155785205641209,-0.04444444444444451,0.0444444444444444,2.665343728133306,True
0.2,2,0,0.928439495106336,0.4,0.6666666666666667,6.4658625136140975,True
0.2,2,1,0.9859395595547855,0.5333333333333333,0.8,6.6116429624700475,True
0.2,2,2,0.9431266082980778,0.4,0.8222222222222222,6.637727225762074,True
0.25,0,0,0.8016429957127991,0.28888888888888886,0.48888888888888893,4.306693105548597,True
0.25,0,1,0.8449370311749602,0.5333333333333333,0.6444444444444444,4.598346303488014,True
0.25,0,2,0.8513018645964112,0.3555555555555555,0.4666666666666667,4.352923881475335,True
0.25,1,0,0.4992259090139347,0.0444444444444444,0.06666666666666665,3.1417542686344477,True
0.25,1,1,0.579382372955478,0.28888888888888886,-0.04444444444444451,3.3465727548362056,True
0.25,1,2,0.6000162603140754,0.3111111111111111,0.15555555555555556,3.369612467065946,True
0.25,2,0,0.36362837621023353,-0.11111111111111116,0.0444444444444444,2.4048913548926407,True
0.25,2,1,0.3804530811315643,0.15555555555555556,0.0,2.3649308388825685,True
0.25,2,2,0.6088912531730284,0.022222222222222254,0.022222222222222254,2.381867926933604,True
