frac,seed,snr,sep_ratio,between,within,kappa_tangent,kappa_logvar,min_rank,cond_max,valid
0.1,1,0.25,0.5926237656910853,0.13523707766355655,0.22820056415700862,0.24444444444444446,1.0,12,3.2743795914707534,True
0.1,1,0.12,0.6318938814058231,0.015920687468833288,0.025195191688536855,0.0,1.0,12,2.610177028771575,True
0.2,0,inf,8.383346759951767,6.77388736987221,0.8080170800320305,1.0,1.0,12,92392.98416682208,True
0.2,0,4.0,6.619428179832542,4.2927210025606035,0.6485032975566177,1.0,1.0,12,238.16089230077293,True
0.2,0,2.0,4.487556644417173,2.8165158230036123,0.6276279156292213,1.0,1.0,12,64.59935699996402,True
0.2,0,1.0,2.496927329872956,1.535625780747716,0.6150061967665871,1.0,1.0,12,18.261170948407123,True
0.2,0,0.5,1.1838322657161338,0.6402924131808317,0.5408641339856544,0.6888888888888889,1.0,12,6.040380962751978,True
0.2,0,0.25,0.531274384594027,0.10652645629973008,0.20051118478285418,0.11111111111111116,1.0,12,3.023988820347207,True
0.2,0,0.12,0.6768780078600444,0.013793900585628889,0.020378709938055788,0.0888888888888889,1.0,12,2.5207303888215105,True
0.2,1,inf,9.702583759104241,8.191088713384437,0.8442172638497945,1.0,1.0,12,860655.7310721605,True
0.2,1,4.0,8.139812647171441,5.372535613199648,0.6600318516012266,1.0,1.0,12,226.85337596137276,True
0.2,1,2.0,5.759042630244698,3.615044887667564,0.627716292406393,1.0,1.0,12,59.00908521265135,True
0.2,1,1.0,3.282537512228783,2.012709720707372,0.6131566549382033,1.0,1.0,12,15.796404489654549,True
0.2,1,0.5,1.543583103393929,0.8184322957332585,0.5302158943912663,0.9333333333333333,1.0,12,5.614981351141247,True
0.2,1,0.25,0.6162692966791784,0.11402535141611914,0.18502520250571436,0.022222222222222254,1.0,12,2.985570426873272,True
0.2,1,0.12,0.643698515131127,0.014817221300629485,0.023018883766744574,0.0,1.0,12,2.5532999906031444,True
0.3,0,inf,10.742111839122334,8.647784807963044,0.8050358195367286,1.0,1.0,12,85835.39055966322,True
0.3,0,4.0,8.862536471211206,5.804826686205993,0.6549848009158795,1.0,1.0,12,190.00563965450007,True
0.3,0,2.0,6.209023973149302,3.869130377112354,0.6231463099263697,1.0,1.0,12,49.33295765111424,True
0.3,0,1.0,3.521959783981291,2.12198252815773,0.6025004992416467,1.0,1.0,12,13.84789034477787,True
0.3,0,0.5,1.6605896296406542,0.8423794778452457,0.5072773325866992,1.0,1.0,12,4.9021032572190215,True
0.3,0,0.25,0.6569408304909992,0.09844797014569139,0.14985819966786224,0.06666666666666665,1.0,12,2.8572018048834953,True
0.3,0,0.12,0.6719989505027064,0.014414144149078162,0.02144965276849805,-0.04444444444444451,1.0,12,2.569605165091434,True
0.3,1,inf,8.867462250642156,7.717086247529675,0.8702699858655532,1.0,1.0,12,82602.06418163612,True
0.3,1,4.0,7.0885720630098135,4.9542061108871485,0.6989004367663278,1.0,1.0,12,199.20082096114854,True
0.3,1,2.0,5.026260623740283,3.216693558413757,0.6399774701734546,1.0,1.0,12,52.45960007486037,True
0.3,1,1.0,2.841957080889707,1.729040970646419,0.6083979882289858,1.0,1.0,12,14.432025405822712,True
0.3,1,0.5,1.3303528825155229,0.6826274703143606,0.5131175940503857,0.8666666666666667,1.0,12,4.985850610258525,True
0.3,1,0.25,0.5368027876554325,0.0776443262643582,0.14464218154209213,0.1777777777777778,1.0,12,2.83514995703008,True
0.3,1,0.12,0.7323213898451247,0.011739880052749683,0.01603104895684188,-0.022222222222222143,1.0,12,2.50693506272614,True
0.5,0,inf,10.993824505172478,7.918356897085672,0.7202549843651014,1.0,1.0,12,1906528.0092007206,True
0.5,0,4.0,8.677836555783033,5.248243498599818,0.6047870877566038,1.0,1.0,12,204.34254539694717,True
0.5,0,2.0,5.731977818142098,3.475618316524109,0.6063558560055033,1.0,1.0,12,54.00524733363415,True
0.5,0,1.0,3.1629925538868697,1.9040731549140417,0.6019847098831155,1.0,1.0,12,15.4083720137275,True
0.5,0,0.5,1.5012099094109845,0.7724592722450856,0.5145578026114737,0.9555555555555556,1.0,12,5.342300669334668,True
0.5,0,0.25,0.6302868651667136,0.09937155587829395,0.1576608388499572,0.1777777777777778,1.0,12,2.7537684203451125,True
0.5,0,0.12,0.6735443386599881,0.012603860618931434,0.018712740788537737,-0.04444444444444451,1.0,12,2.4374466035069227,True
0.5,1,inf,8.568838412520138,6.836371838961221,0.7978178032826984,1.0,1.0,12,3885088.769964629,True
0.5,1,4.0,6.190732594740932,4.251967991456747,0.6868279200217471,1.0,1.0,12,194.69259404314874,True
0.5,1,2.0,4.151097105415118,2.6883345580766704,0.6476202531060357,1.0,1.0,12,50.834967776852814,True
0.5,1,1.0,2.3077430911167727,1.4111326241609925,0.6114773475404973,1.0,1.0,12,14.514916974047619,True
0.5,1,0.5,1.0807016025473017,0.5533315772123218,0.5120114339685203,0.7777777777777778,1.0,12,5.068438345863799,True
0.5,1,0.25,0.503607468591224,0.07741005647429876,0.15371109703921443,0.0444444444444444,1.0,12,2.720338390768593,True
0.5,1,0.12,0.6819554990274524,0.01270042224199884,0.018623535201506718,-0.06666666666666665,1.0,12,2.465945234824162,True
0.7,0,inf,10.073220969658648,7.313510924292163,0.7260349938039725,1.0,1.0,10,inf,False
0.7,0,4.0,9.474386943373291,4.784571432617928,0.5050006360532298,1.0,1.0,10,inf,False
0.7,0,2.0,6.189185813089626,3.1129189936855135,0.5029609851269843,1.0,1.0,10,inf,False
0.7,0,1.0,3.33635146464067,1.6804123913441273,0.5036676768480416,1.0,0.9777777777777777,10,inf,False
0.7,0,0.5,1.4964906739411437,0.7198837415928852,0.4810479304204457,0.8,0.9555555555555556,10,inf,False
0.7,0,0.25,0.6105108524876627,0.272086741422683,0.4456706057132398,0.1777777777777778,0.9555555555555556,10,inf,False
0.7,0,0.12,0.37592813106926887,0.16587436983230008,0.4412395777897662,0.0888888888888889,0.9555555555555556,10,inf,False
0.7,1,inf,4.2697658007765495,4.322946667665563,1.012455218709968,1.0,1.0,12,18566.39053728137,True
0.7,1,4.0,3.809872660710416,2.870771965248825,0.7535086395022768,1.0,1.0,12,160.70904127447287,True
0.7,1,2.0,2.780392460014205,1.8277834353253946,0.6573832513256264,1.0,0.9111111111111111,12,43.84277044671992,True
0.7,1,1.0,1.5066616323616755,0.9181685005266734,0.6094059082711587,0.9777777777777777,0.8,12,13.010712566490346,True
0.7,1,0.5,0.6821199319215123,0.33206765560340157,0.486817112451144,0.5111111111111111,0.6444444444444444,12,4.736353356278702,True
0.7,1,0.25,0.42369742999877696,0.04574391505753328,0.10796363588437467,0.0888888888888889,0.6888888888888889,12,2.6852857872630747,True
0.7,1,0.12,0.7858963087998924,0.009026921793717953,0.011486148608462823,0.11111111111111116,0.6222222222222222,12,2.460809896052714,True
