frac,lesion_seed,noise_seed,sep_ratio,kappa_logvar,kappa_tangent,valid
0.0,-1,0,1.076608933307152,0.7111111111111111,0.6666666666666667,True
0.0,-1,1,1.1221961444279485,0.8222222222222222,0.7333333333333334,True
0.0,-1,2,1.1043272495519236,0.7777777777777778,0.8222222222222222,True
0.1,0,0,1.2054152418391315,0.7333333333333334,0.8,True
0.1,0,1,1.2521000863293705,0.8888888888888888,0.8222222222222222,True
0.1,0,2,1.2469648538476807,0.7777777777777778,0.9111111111111111,True
0.1,1,0,0.7953031494305433,0.24444444444444446,0.4,True
0.1,1,1,0.8307140561686152,0.4666666666666667,0.48888888888888893,True
0.1,1,2,0.8182837465902721,0.2666666666666667,0.6222222222222222,True
0.2,0,0,0.8060151200679873,0.5777777777777777,0.4444444444444444,True
0.2,0,1,0.8333038556567396,0.5555555555555556,0.5333333333333333,True
0.2,0,2,0.8431105532838437,0.6666666666666667,0.7555555555555555,True
0.2,1,0,0.363294886868476,-0.1333333333333333,-0.06666666666666665,True
0.2,1,1,0.41298242631150633,0.2666666666666667,-0.11111111111111116,True
0.2,1,2,0.5155785205641209,-0.04444444444444451,0.0444444444444444,True
0.3,0,0,0.42259529822483216,-0.15555555555555545,-0.022222222222222143,True
0.3,0,1,0.4103455756289432,0.1333333333333333,0.0888888888888889,True
0.3,0,2,0.5029574625325451,-0.06666666666666665,-0.04444444444444451,True
0.3,1,0,0.41285756867698253,-0.06666666666666665,0.0,True
0.3,1,1,0.39072674531230445,0.24444444444444446,0.022222222222222254,True
0.3,1,2,0.4709558112878215,-0.06666666666666665,0.24444444444444446,True
0.5,0,0,0.3362905472259679,-0.06666666666666665,0.11111111111111116,True
0.5,0,1,0.3964819847955347,0.19999999999999996,0.022222222222222254,True
0.5,0,2,0.6228947775326062,0.0,0.0888888888888889,True
0.5,1,0,0.3555046030464847,-0.0888888888888888,-0.022222222222222143,True
0.5,1,1,0.3804960263385117,0.1777777777777778,-0.11111111111111116,True
0.5,1,2,0.656935885744579,0.0444444444444444,0.06666666666666665,True
0.7,0,0,0.31258942001818457,-0.06666666666666665,0.0444444444444444,True
0.7,0,1,0.4084845303170306,0.15555555555555556,-0.06666666666666665,True
0.7,0,2,0.6752597442769336,-0.022222222222222143,-0.06666666666666665,True
0.7,1,0,0.3193651968811191,-0.022222222222222143,0.06666666666666665,True
0.7,1,1,0.4036211129722314,0.19999999999999996,-0.11111111111111116,True
0.7,1,2,0.6471872685984335,-0.022222222222222143,0.1333333333333333,True
